gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgChargePerMonth,TenureBucket,MonthlyChargesBucket,churn_probability,risk_bucket,risk_decile,recommended_action
Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.4,743.5,0,19.56578947368421,37-48,0-25,0.029433764111319653,Low,1,No action
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,45.3,1,45.3,0-6,26-50,0.6638229073971434,Medium,8,Watchlist / proactive support
Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,104.1,7040.85,1,105.08731343283583,61+,100+,0.42359640274108556,Medium,6,Watchlist / proactive support
Male,0,Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,75.4,3865.45,0,74.33557692307691,49-60,76-100,0.15448452833737233,Low,3,No action
Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,0,110.09112903225805,61+,100+,0.082355743758455,Low,3,No action
Female,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.25,1340.1,0,83.75625,13-24,76-100,0.8077421303907265,High,9,Target retention offer
Female,1,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.0,371.65,1,74.33,0-6,76-100,0.8711346942371381,High,10,Target retention offer
Male,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,95.7,1184.0,0,98.66666666666667,7-12,76-100,0.7107817627925755,High,8,Target retention offer
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.85,8477.7,0,117.74583333333334,61+,100+,0.10640216884546767,Low,3,No action
Male,1,No,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75,7382.85,0,103.98380281690142,61+,100+,0.2623835742728812,Low,4,No action
Female,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,456.85,0,19.035416666666666,13-24,0-25,0.10292091156283373,Low,3,No action
Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,331.6,0,22.10666666666667,13-24,0-25,0.07606762095144048,Low,2,No action
Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.6,6056.15,1,90.39029850746267,61+,76-100,0.19141501209101422,Low,4,No action
Male,0,No,Yes,2,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),60.95,134.6,0,67.3,0-6,51-75,0.42493096885115145,Medium,6,Watchlist / proactive support
Female,0,Yes,Yes,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,125.5,0,25.1,0-6,26-50,0.62138567623872,Medium,7,Watchlist / proactive support
Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.15,1390.6,1,92.70666666666666,13-24,76-100,0.8356268660974633,High,9,Target retention offer
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.2,20.2,1,20.2,0-6,0-25,0.4720182323725583,Medium,6,Watchlist / proactive support
Male,0,Yes,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),60.3,2511.3,0,61.25121951219513,37-48,51-75,0.09445001728050624,Low,3,No action
Female,0,No,Yes,43,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.95,2737.05,0,63.65232558139535,37-48,51-75,0.2883740799134621,Low,5,No action
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.3,74.3,0,74.3,0-6,51-75,0.8736360109184989,High,10,Target retention offer
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.6,70.6,0,70.6,0-6,51-75,0.8328157047494625,High,9,Target retention offer
Female,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.8,2361.8,1,90.83846153846154,25-36,76-100,0.7964883572124769,High,9,Target retention offer
Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,1730.35,1,78.65227272727272,13-24,76-100,0.7865296620041216,High,9,Target retention offer
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),90.55,6404.0,0,90.19718309859155,61+,76-100,0.03452855799464938,Low,2,No action
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.45,165.35,0,23.62142857142857,7-12,0-25,0.1066319416080131,Low,3,No action
Female,1,No,No,28,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),64.45,1867.6,0,66.7,25-36,51-75,0.3224057709714967,Low,5,No action
Male,1,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,1043.3,0,65.20625,13-24,51-75,0.764734596706191,High,9,Target retention offer
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.5,128.6,0,18.37142857142857,7-12,0-25,0.19497591431738895,Low,4,No action
Female,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.5,7455.45,0,108.05,61+,100+,0.17742550674301819,Low,4,No action
Female,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,24.7,0,24.7,0-6,0-25,0.6567978390952947,Medium,8,Watchlist / proactive support
Male,0,No,No,3,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.4,206.15,0,68.71666666666667,0-6,76-100,0.7193277286016136,High,8,Target retention offer
Male,1,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.8,2030.3,1,96.68095238095238,13-24,76-100,0.8102617251026537,High,9,Target retention offer
Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.4,5869.4,0,85.06376811594203,61+,76-100,0.37763613241357474,Low,5,No action
Female,0,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),47.6,3377.8,0,47.57464788732395,61+,26-50,0.020403977557669383,Low,1,No action
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.4,1346.2,0,19.51014492753623,61+,0-25,0.00673648444463942,Low,1,No action
Female,0,No,No,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,4946.05,0,103.04270833333334,37-48,100+,0.724450709309456,High,8,Target retention offer
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.35,4065.0,1,86.48936170212765,37-48,76-100,0.5555306487538569,Medium,7,Watchlist / proactive support
Female,0,No,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.4,106.55,1,53.275,0-6,26-50,0.7772786392773956,High,9,Target retention offer
Male,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.45,4964.7,0,110.32666666666667,37-48,100+,0.5800721360286554,Medium,7,Watchlist / proactive support
Male,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.0,4085.75,0,80.11274509803921,49-60,76-100,0.41992362033700265,Medium,6,Watchlist / proactive support
Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.2,1742.75,1,79.2159090909091,13-24,76-100,0.5903269282017931,Medium,7,Watchlist / proactive support
Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.65,6224.8,0,86.45555555555556,61+,76-100,0.03405382714664833,Low,2,No action
Male,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.95,3415.25,0,92.30405405405405,37-48,76-100,0.7206489179600035,High,8,Target retention offer
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.35,6325.25,0,89.08802816901408,61+,76-100,0.040219534673926055,Low,2,No action
Male,0,Yes,Yes,7,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,48.7,340.25,1,48.607142857142854,7-12,26-50,0.5706234207267827,Medium,7,Watchlist / proactive support
Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.15,1683.6,0,25.509090909090908,61+,26-50,0.01673325523348147,Low,1,No action
Male,0,Yes,Yes,51,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),76.4,3966.3,0,77.77058823529413,49-60,76-100,0.10631605981583246,Low,3,No action
Female,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.55,608.5,0,20.283333333333335,25-36,0-25,0.06417375237636808,Low,2,No action
Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,85.35,2896.6,0,85.19411764705882,25-36,76-100,0.727393320596125,High,8,Target retention offer
Male,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.8,1514.85,0,23.66953125,61+,0-25,0.01577517305251019,Low,1,No action
Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,6792.45,0,104.49923076923076,61+,100+,0.4606397601424101,Medium,6,Watchlist / proactive support
Male,0,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,100.75,4669.2,0,99.34468085106383,37-48,100+,0.3718788079202364,Low,5,No action
Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,95.6,1,95.6,0-6,76-100,0.8632218032235225,High,10,Target retention offer
Female,0,No,No,49,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.75,2934.3,1,59.88367346938776,49-60,51-75,0.2075994597642946,Low,4,No action
Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),94.1,6302.8,0,94.07164179104478,61+,76-100,0.08371056374642236,Low,3,No action
Male,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.35,779.2,0,19.97948717948718,37-48,0-25,0.045519744715504844,Low,2,No action
Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,283.75,0,20.267857142857142,13-24,0-25,0.2712591255969357,Low,5,No action
Female,1,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,4600.7,1,106.99302325581395,37-48,100+,0.5010427462759447,Medium,6,Watchlist / proactive support
Male,1,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,0,99.89285714285714,49-60,100+,0.7723891020179021,High,9,Target retention offer
Female,0,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),59.1,772.85,0,55.20357142857143,13-24,51-75,0.2736467834204239,Low,5,No action
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.35,71.35,1,71.35,0-6,51-75,0.8098783855537584,High,9,Target retention offer
Male,0,Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,55.85,857.8,0,53.6125,13-24,51-75,0.20461866585683774,Low,4,No action
Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,0,107.915,61+,100+,0.5187979926364983,Medium,7,Watchlist / proactive support
Male,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,5981.65,0,83.07847222222222,61+,76-100,0.06981186770733824,Low,2,No action
Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,1702.9,0,74.0391304347826,13-24,76-100,0.6145612624891572,Medium,7,Watchlist / proactive support
Male,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.7,467.15,0,22.245238095238093,13-24,0-25,0.22013392631320197,Low,4,No action
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.15,20.15,1,20.15,0-6,0-25,0.4642964475999764,Medium,6,Watchlist / proactive support
Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,69.75,1,69.75,0-6,51-75,0.7082767264333695,High,8,Target retention offer
Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.2,2931.0,1,91.59375,25-36,76-100,0.8675994367979925,High,10,Target retention offer
Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,80.85,1400.85,1,82.40294117647058,13-24,76-100,0.7375474617174996,High,8,Target retention offer
Female,0,No,No,4,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.65,137.85,1,34.4625,0-6,26-50,0.7070350444437687,High,8,Target retention offer
Female,0,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,55.8,1941.5,0,53.93055555555556,25-36,51-75,0.2515834241644594,Low,4,No action
Female,0,No,No,50,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),39.7,1932.75,0,38.655,49-60,26-50,0.044613771238030585,Low,2,No action
Female,0,Yes,Yes,48,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.5,1423.05,0,29.646874999999998,37-48,26-50,0.21613919158813666,Low,4,No action
Female,0,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.15,970.85,0,19.417,49-60,0-25,0.01364314188811511,Low,1,No action
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),79.55,5810.9,0,80.70694444444445,61+,76-100,0.024210507710002816,Low,1,No action
Male,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.8,223.9,0,22.39,7-12,0-25,0.29690998861161794,Low,5,No action
Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,391.7,0,21.76111111111111,13-24,0-25,0.23549163439899287,Low,4,No action
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,79.95,1,79.95,0-6,76-100,0.8876940716167423,High,10,Target retention offer
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.3,19.3,1,19.3,0-6,0-25,0.47209933085233596,Medium,6,Watchlist / proactive support
Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.05,811.65,0,90.18333333333334,7-12,76-100,0.8873882813737258,High,10,Target retention offer
Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,90.75,174.75,0,87.375,0-6,76-100,0.7640398242589694,High,9,Target retention offer
Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,0,78.17125,37-48,76-100,0.5409182462510901,Medium,7,Watchlist / proactive support
Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),99.5,6841.45,0,99.15144927536231,61+,76-100,0.33475811831797664,Low,5,No action
Female,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,99.2,3754.6,1,101.47567567567567,37-48,76-100,0.46662083117431996,Medium,6,Watchlist / proactive support
Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.55,1406.65,0,78.14722222222223,13-24,76-100,0.7066772932271839,High,8,Target retention offer
Male,1,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,834.7,0,75.88181818181819,7-12,51-75,0.846699937439204,High,10,Target retention offer
Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.2,627.4,1,78.425,7-12,76-100,0.8451835229356661,High,10,Target retention offer
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,242.0,1,80.66666666666667,0-6,76-100,0.839087618087318,High,10,Target retention offer
Male,0,Yes,Yes,55,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),59.45,3157.0,0,57.4,49-60,51-75,0.06683779083882617,Low,2,No action
Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.35,3092.0,0,93.6969696969697,25-36,76-100,0.7881070448576791,High,9,Target retention offer
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9,0,47.15,37-48,26-50,0.20709153741477754,Low,4,No action
Male,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.1,980.35,0,28.833823529411767,25-36,26-50,0.04474575901082308,Low,2,No action
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.2,65.95,0,21.983333333333334,0-6,0-25,0.44648960848332053,Medium,6,Watchlist / proactive support
Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.25,711.9,0,23.73,25-36,0-25,0.03459446474421777,Low,2,No action
Female,0,No,No,33,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,59.4,1952.8,0,59.17575757575757,25-36,51-75,0.16099669362092286,Low,4,No action
Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),95.0,4368.85,0,97.08555555555556,37-48,76-100,0.40691496156641416,Medium,6,Watchlist / proactive support
Male,0,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2647.1,0,66.1775,37-48,51-75,0.17714027057590043,Low,4,No action
Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.65,8477.6,0,119.40281690140846,61+,100+,0.18082135877673797,Low,4,No action
Male,0,No,No,1,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.35,54.35,1,54.35,0-6,51-75,0.717949175133832,High,8,Target retention offer
Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.45,4528.0,0,62.888888888888886,61+,51-75,0.023823229609356317,Low,1,No action
Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.15,1790.65,0,81.39318181818182,13-24,76-100,0.7736073597711836,High,9,Target retention offer
Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.2,845.6,0,18.382608695652173,37-48,0-25,0.046611728218514274,Low,2,No action
Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.0,1210.3,0,22.005454545454544,49-60,0-25,0.012015834733490893,Low,1,No action
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,0,20.45,0-6,0-25,0.38856713079231875,Low,5,No action
Female,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,75.85,854.45,0,71.20416666666667,7-12,76-100,0.483824825115733,Medium,6,Watchlist / proactive support
Male,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.45,2429.1,0,78.35806451612903,25-36,76-100,0.7325516037394498,High,8,Target retention offer
Male,0,Yes,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,100.4,1,20.080000000000002,0-6,0-25,0.808190048595767,High,9,Target retention offer
Female,0,Yes,Yes,67,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,75.5,5229.45,0,78.05149253731344,61+,76-100,0.08747426852210059,Low,3,No action
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.45,44.45,0,44.45,0-6,26-50,0.5976540814853336,Medium,7,Watchlist / proactive support
Male,0,Yes,No,40,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,42.35,1716.45,1,42.91125,37-48,26-50,0.21924510853647697,Low,4,No action
Male,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.55,3023.55,0,73.74512195121952,37-48,51-75,0.2775331926674826,Low,5,No action
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.3,75.3,1,75.3,0-6,76-100,0.8885703894441564,High,10,Target retention offer
Male,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,94.8,4837.6,1,94.85490196078432,49-60,76-100,0.4149541550105083,Medium,6,Watchlist / proactive support
Male,0,Yes,Yes,42,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),48.15,2032.3,0,48.38809523809524,37-48,26-50,0.05408790382150658,Low,2,No action
Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,436.9,0,18.995652173913044,13-24,0-25,0.09034119264438249,Low,3,No action
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.55,70.55,1,70.55,0-6,51-75,0.8759877737326953,High,10,Target retention offer
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,0,20.15,0-6,0-25,0.3825386793706464,Low,5,No action
Female,0,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.6,5893.95,0,105.24910714285714,49-60,100+,0.5359682804035985,Medium,7,Watchlist / proactive support
Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,0,95.33666666666666,13-24,76-100,0.8199689005077334,High,9,Target retention offer
Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.4,313.0,0,26.083333333333332,7-12,26-50,0.11500127706958134,Low,3,No action
Female,0,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.95,3871.85,0,71.70092592592593,49-60,51-75,0.026476077388386022,Low,1,No action
Female,0,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.85,458.1,0,65.44285714285715,7-12,51-75,0.7794604529580406,High,9,Target retention offer
Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),86.15,2745.7,1,83.2030303030303,25-36,76-100,0.5968036344604788,Medium,7,Watchlist / proactive support
Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.15,341.35,0,21.334375,13-24,0-25,0.2813741605598319,Low,5,No action
Female,0,No,Yes,21,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,64.85,1336.8,0,63.65714285714286,13-24,51-75,0.18331513007550534,Low,4,No action
Male,1,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,74.85,2181.75,0,72.725,25-36,51-75,0.31137180001724957,Low,5,No action
Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.5,147.75,0,49.25,0-6,51-75,0.5696225529109776,Medium,7,Watchlist / proactive support
Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.9,818.45,0,74.40454545454546,7-12,51-75,0.7689219026398714,High,9,Target retention offer
Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),115.05,7133.45,0,115.05564516129031,61+,100+,0.2734043352310996,Low,5,No action
Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.0,348.8,0,19.37777777777778,13-24,0-25,0.31183066713492164,Low,5,No action
